Feature,Mean |SHAP|
Stage_Stem E,1.3237848333992134e-05
Stage_Germin,1.925760580974462e-05
Stage_Seedli,4.5514460057856304e-05
Stage_Tiller,5.8732731260462346e-05
Stage_Headin,0.00010223681488098149
Stage_Milk S,0.0001318368277728602
solar_radiation_mj_m2,0.00015558273304273502
cumulative_rainfall_7d,0.0003251896714443494
vpd_kpa,0.0004112161840404324
avg_temp_7d,0.0004237975950646637
gdd,0.000455386623082644
temperature_avg_c,0.0005587673845112878
relative_humidity_percent,0.0009253999979833646
rainfall_mm,0.0011172887494437572
Stage_Dough ,0.0016145001132288504
Stage_Maturi,0.0020564477465563977
